company_name,title,job_type,min_degree,location_province,location_city,salary_range,responsibilities_text,technical_projects_text,required_knowledge_skills_text,required_tools_platform_text,published_at,domain_area,main_business,flagship_products,application_industries,company_province,company_city,company_website,company_description
"渝数智联科技","C++后端开发工程师","full_time","bachelor","重庆市","重庆","16k-28k","职位描述：1、负责核心业务服务的模块设计与接口实现，保障高并发场景下的稳定响应；2、参与数据库表结构优化与查询性能调优，持续提升系统吞吐能力；3、协同前端与测试团队完成联调、缺陷修复与版本发布，确保功能按期交付；4、编写技术文档并参与代码评审，推动研发规范落地。任职要求：1、本科及以上学历，计算机相关专业；2、熟悉C++和Linux开发环境，具备网络编程基础；3、了解MySQL索引与事务机制，能独立定位常见性能问题；4、具备良好沟通能力和团队协作意识。","参与政企业务中台升级项目，负责订单处理链路重构、缓存策略改造与异步任务治理；在上线阶段承担压测准备、灰度发布和回滚预案设计，结合监控指标持续优化响应时延与资源消耗。","熟悉数据结构与操作系统基础；具备服务端设计、接口联调、故障排查和性能调优能力；能够阅读技术方案并完成任务拆解与迭代跟踪。","Linux；Git；CMake；MySQL；Docker；监控告警平台；日志分析工具。","2026-05-08","工业软件","公司长期服务政企数字化建设，提供从需求调研、系统研发到运维运营的全链路技术服务，强调工程质量、交付效率与运行稳定性的平衡。","核心产品覆盖业务中台、流程引擎、监控告警和运维支撑模块，支持高可用部署、弹性扩容和跨系统集成，能够满足复杂业务场景持续迭代。","方案已应用于政务协同、园区治理、制造执行和企业运营等场景，支持从试点建设到规模推广的全周期实施，具备可复制的项目交付经验。","重庆市","重庆","https://example.com/yushuzhilian","企业重视技术沉淀与人才培养，建立了标准化研发流程、质量门禁机制和项目复盘制度，团队协作高效，能够支撑长期稳定的客户服务。"
"山城云维信息","运维工程师","full_time","bachelor","重庆市","重庆","14k-24k","职位描述：1、负责云资源日常巡检与容量评估，保障业务系统稳定运行；2、处理应用发布、配置变更和故障应急，确保关键服务连续可用；3、维护监控告警体系和日志平台，及时发现并闭环系统风险；4、与研发团队协同推进运维自动化，提升发布效率和恢复速度。任职要求：1、本科及以上学历，计算机或网络相关专业；2、具备Linux系统维护经验，熟悉常见中间件部署流程；3、能够编写基础脚本并理解CI/CD流程；4、责任心强，具备应急沟通和现场协作能力。","参与智慧园区平台运维保障项目，负责多环境部署、数据库备份策略和链路可观测改造；通过自动化巡检脚本和发布流水线优化，将常规维护操作标准化并显著缩短故障恢复时间。","熟悉系统运维流程与故障分级处置；具备日志定位、资源监控、发布管理和跨团队协同能力；能够形成可复用的运维手册与复盘记录。","Linux；Shell；Ansible；Nginx；Docker；Prometheus；Grafana；ELK。","2026-05-08","云平台运维","公司专注云平台运维与托管服务，提供资源管理、稳定性保障、安全加固和应急响应能力，帮助客户构建可持续运维体系。","产品体系包含自动化巡检、发布管理、日志治理和告警联动模块，支持多集群统一管理与策略化运维，降低人工操作风险并提升可观测性。","服务覆盖智慧园区、公共服务、互联网业务和制造企业，支持高峰期保障、版本快速迭代和长期运维运营，形成成熟的SRE实践方法。","重庆市","重庆","https://example.com/shanchengyunwei","企业建立7×24响应机制和分级值守制度，强调流程规范、数据驱动和协同处置，能够在复杂环境下持续提供稳定可靠的运维服务。"
"巴渝安盾科技","网络安全工程师","full_time","bachelor","重庆市","重庆","15k-26k","职位描述：1、负责安全基线检查、漏洞扫描与整改跟踪，降低系统暴露面；2、建设安全监测规则并分析异常日志，及时发现潜在攻击行为；3、参与应急响应与事件溯源，输出可执行的加固方案；4、协同业务团队推进权限治理与安全培训，提升整体防护水平。任职要求：1、本科及以上学历，信息安全或计算机相关专业；2、熟悉网络协议与常见攻击手法，具备基本攻防实战能力；3、了解主机、应用和数据安全防护机制；4、具备严谨的文档能力和跨部门沟通能力。","参与城市级信息系统安全加固项目，负责资产梳理、弱口令治理、WAF策略调优和告警规则优化；通过事件复盘机制建立分级响应流程，提升安全问题定位效率与处置一致性。","掌握漏洞管理和安全审计方法；能够进行日志分析、攻击链研判和风险评估；具备策略制定、报告输出与整改推进能力。","Linux；Python；Nmap；BurpSuite；SIEM；WAF；EDR；工单协同平台。","2026-05-08","网络安全","公司聚焦安全运营与防护建设，面向政企客户提供从风险评估、策略配置到事件响应的闭环服务，强调可验证和可追踪的安全治理。","产品能力覆盖资产识别、漏洞管理、告警分析、应急响应与合规审计，支持统一视图和多级权限协同，满足持续安全运营需求。","方案应用于政府平台、金融服务、医疗信息化和教育系统等行业，支撑高安全要求场景下的长期稳定运行与合规检查。","重庆市","重庆","https://example.com/bayuandun","企业拥有成熟的安全专家团队与知识库体系，持续沉淀攻防案例和处置模板，能够快速响应复杂安全事件并输出可落地改进方案。"
"星轨智能系统","机器学习工程师","full_time","master","浙江省","杭州","20k-34k","职位描述：1、负责模型训练、评估与迭代优化，提升算法在线效果与稳定性；2、建设特征工程流程并管理训练数据版本，保障实验可复现；3、推进模型服务化部署与性能调优，支撑高并发推理需求；4、与产品团队协同定义指标体系，完成实验设计与效果复盘。任职要求：1、硕士及以上学历，人工智能或相关专业优先；2、熟悉机器学习与深度学习常用算法及评估方法；3、具备Python工程化能力和模型部署经验；4、具备良好数据分析能力与业务理解能力。","参与智能推荐系统升级项目，负责多任务学习模型训练、特征选择和在线A/B实验；在部署阶段完成推理服务容器化改造和资源调度优化，提升模型响应效率与稳定性。","掌握监督学习和深度学习基础；能够进行数据清洗、特征构建、误差诊断和实验复盘；具备从离线训练到在线服务的完整落地能力。","Python；PyTorch；TensorFlow；SQL；Docker；K8s；MLflow；特征平台。","2026-05-08","人工智能","公司专注智能决策与算法平台建设，为零售、服务和制造客户提供模型开发、部署运营和效果评估一体化服务。","平台提供数据治理、特征管理、实验编排和在线推理能力，支持模型快速上线、灰度发布和持续监控，满足业务快速迭代需求。","能力已应用于推荐排序、风险识别、供需预测和质量检测等场景，帮助客户实现效率提升和决策优化。","浙江省","杭州","https://example.com/xingguizhinen","企业构建了从数据到模型再到业务闭环的工程体系，重视实验规范和模型治理，团队协作机制完善，具备稳定交付复杂算法项目的能力。"
"岭南通信优化","5G网络优化工程师","full_time","bachelor","广东省","广州","16k-27k","职位描述：1、负责无线网络指标监控与参数优化，提升覆盖质量和用户体验；2、开展站点问题排查与干扰分析，输出专项优化方案；3、参与网络扩容评估和割接保障，确保变更过程平稳可控；4、编制优化报告并跟踪整改效果，推动网络质量持续改进。任职要求：1、本科及以上学历，通信工程相关专业；2、熟悉无线通信原理和网络优化流程；3、具备数据分析能力，能使用工具完成问题定位；4、能接受现场工作安排，具备良好沟通能力。","参与城市核心区域网络提质项目，负责小区级指标建模、天馈参数调整与邻区关系优化；在专项攻坚阶段联合现场团队完成连续问题追踪和优化闭环，显著提升关键区域用户感知。","掌握移动通信基础与协议分析方法；具备指标解读、参数调优、现场排障和报告表达能力；能够在多团队协同中推进问题闭环。","Linux；网络优化工具；抓包工具；Python；Excel；可视化分析平台。","2026-05-08","通信网络","公司聚焦无线通信优化与网络保障服务，提供规划咨询、指标治理、专项优化和现场支撑能力，服务运营与行业客户网络建设。","产品与方法体系覆盖指标诊断、参数推荐、站点治理和质量看板，支持多区域统一分析与持续优化，保障复杂网络环境下的稳定运行。","服务已落地于城市通信、园区专网、交通枢纽和大型活动保障等场景，形成成熟的项目实施与复盘机制。","广东省","广州","https://example.com/lingnantongxin","企业拥有经验丰富的优化团队与区域响应体系，强调数据驱动决策和现场执行并重，能够高质量完成网络优化和运营保障任务。"
"华渝车联电子","嵌入式开发工程师","full_time","bachelor","安徽省","合肥","17k-29k","职位描述：1、负责车载控制单元的软件设计、驱动开发与功能实现；2、参与硬件联调与总线通信测试，定位并修复系统缺陷；3、优化内存与实时性能，保障控制逻辑稳定运行；4、编写开发文档和测试记录，支持版本发布与问题追踪。任职要求：1、本科及以上学历，电子信息或车辆工程相关专业；2、熟悉C语言和嵌入式开发流程，具备调试经验；3、了解CAN等车载通信协议和基础电路知识；4、具备责任心与团队协作能力。","参与新能源车控制器迭代项目，负责底层驱动适配、通信协议封装和故障诊断模块开发；在验证阶段完成台架测试、场景回放和性能优化，提升控制策略稳定性与可维护性。","具备嵌入式系统基础、驱动开发和联调测试能力；能够进行通信故障定位、性能分析和问题闭环；熟悉版本管理与质量追踪流程。","C；C++；CANoe；JTAG；示波器；Git；静态分析工具；测试台架。","2026-05-08","智能汽车","公司深耕车载电子与控制系统研发，提供控制器开发、系统集成、测试验证和量产支持服务，面向新能源与智能网联场景。","核心产品包含车身控制、动力控制、通信网关和诊断平台，支持多车型适配和功能安全要求，具备稳定量产和持续迭代能力。","方案应用于乘用车、商用车和专用车辆场景，覆盖研发试制、道路验证和量产导入阶段，形成完整工程交付链路。","安徽省","合肥","https://example.com/huayuchelian","企业建立了软硬件协同研发机制和严谨测试流程，注重规范化文档与缺陷闭环管理，能够保障车规项目高质量交付。"
"西南智造控制","工业控制工程师","full_time","bachelor","江苏省","苏州","15k-25k","职位描述：1、负责产线控制逻辑设计与PLC程序开发，保障设备稳定运行；2、参与现场调试、联机测试和异常处理，确保项目按期投产；3、维护控制系统参数与变更记录，提升系统可追溯性；4、协同机械与电气团队优化工艺节拍，持续提高产线效率。任职要求：1、本科及以上学历，自动化或机电相关专业；2、熟悉PLC编程和工业网络通信基础；3、具备现场调试与故障诊断能力；4、具备安全意识和良好团队协作能力。","参与离散制造产线升级项目，负责多工位协同控制、报警联锁改造和上位机通信对接；通过节拍分析与参数优化降低停机频次，提升关键工序连续生产能力。","掌握自动控制原理与PLC工程实现方法；具备现场排障、系统联调、工艺协同和文档沉淀能力；能够在多专业协作环境中推进交付。","PLC；组态软件；工业以太网；Modbus；SCADA；Matlab；项目协同平台。","2026-05-08","智能制造","公司提供工业自动化与产线改造解决方案，涵盖控制系统设计、现场实施、运维优化和持续改进服务，聚焦制造效率与质量提升。","产品体系覆盖控制平台、数据采集、设备监控和工艺分析模块，支持多设备互联与统一运维管理，适配复杂制造现场需求。","解决方案应用于汽车零部件、电子装配、食品包装和仓储物流等场景，能够支撑新线建设与旧线改造的协同推进。","江苏省","苏州","https://example.com/xinanzhizao","企业强调现场交付能力和过程标准化管理，建立项目周例会、风险清单和复盘机制，确保自动化项目稳定落地和长期运行。"
"轨道结构工程院","BIM工程师","full_time","bachelor","四川省","成都","14k-23k","职位描述：1、负责BIM模型搭建、构件族管理与图模一致性校核；2、参与施工方案模拟与进度推演，支持现场决策与资源协调；3、协同设计、施工和监理单位完成模型交付与问题闭环；4、输出模型标准和应用报告，推动项目数字化管理落地。任职要求：1、本科及以上学历，土木工程或相关专业；2、熟悉BIM建模软件和工程图纸规范；3、具备施工流程理解与跨团队沟通能力；4、工作细致，能够按计划推进多任务协同。","参与轨道交通站点建设项目，负责结构模型深化、碰撞检查和施工模拟；在实施阶段完成多专业协同模型发布和变更管理，提升设计与现场执行一致性。","掌握土木工程基础和BIM应用流程；具备模型校核、进度协同、问题跟踪和成果汇报能力；能够支撑工程项目数字化管理。","Revit；Navisworks；AutoCAD；BIM协同平台；进度管理软件；Office。","2026-05-08","智慧建造","公司专注工程数字化与智慧建造服务，提供模型建设、协同管理、施工仿真和项目数据治理能力，支撑基础设施项目全周期管理。","平台能力覆盖模型标准管理、碰撞检查、进度联动与质量追踪，支持多参与方协同和版本化管理，提升工程项目可视化与可控性。","服务落地于轨道交通、市政工程、公共建筑和产业园区建设场景，形成可复制的数字化建造实施方法。","四川省","成都","https://example.com/guidaojiegou","企业拥有多专业协同团队和成熟交付流程，注重标准体系建设与实践闭环，能够持续提升工程项目数字化管理水平。"
"绿澜生态技术","环境监测工程师","full_time","bachelor","湖北省","武汉","13k-21k","职位描述：1、负责水气土环境样品采集、监测计划执行和数据记录管理；2、开展监测数据质量控制与异常分析，保证结果准确可追溯；3、参与污染源排查和治理效果评估，形成技术建议报告；4、配合客户完成合规申报与现场检查支持。任职要求：1、本科及以上学历，环境工程或相关专业；2、熟悉常见监测方法和质量控制流程；3、具备数据整理与报告编写能力；4、责任心强，能够适应现场采样工作。","参与流域生态监测项目，负责采样点布设、自动站数据校验和阶段性趋势分析；在治理评估阶段联合技术团队输出改善建议，支持区域环保管理决策。","具备环境监测基础、数据分析和报告表达能力；能够执行采样规范、质量控制和异常复核流程；具备跨部门协同推进能力。","监测仪器；GIS；Excel；统计分析软件；实验室信息系统；协同工单平台。","2026-05-08","生态环保","公司面向生态环保治理提供监测评估、方案设计与运营支撑服务，聚焦数据可信、过程规范和治理成效可验证。","产品与服务覆盖在线监测、移动采样、质量管理和评估报告模块，支持多源数据整合与长期趋势跟踪，满足监管与治理双重需求。","能力应用于工业园区治理、流域生态修复、城市空气质量监测和固废管理场景，具备持续运营和复盘优化经验。","湖北省","武汉","https://example.com/lvlan","企业坚持科学监测与规范管理，建立标准操作程序和质量审核机制，团队在现场执行与报告产出方面经验丰富，服务口碑稳定。"
"弘策管理咨询","运营分析师","full_time","bachelor","北京市","北京","15k-24k","职位描述：1、负责业务运营数据整理与指标体系维护，支撑管理层决策；2、开展经营过程分析与专题诊断，识别关键问题并提出改进方案；3、协同业务部门推进策略落地，跟踪实施效果并形成复盘结论；4、建设周期性经营报告机制，提升跨部门信息透明度。任职要求：1、本科及以上学历，管理、统计或相关专业；2、具备数据分析和商业理解能力，能独立完成专题分析；3、熟悉常见报表工具和展示表达方式；4、沟通协调能力强，具备项目推进意识。","参与集团运营提效项目，负责指标口径统一、看板重构与专题分析；通过经营漏斗建模和流程诊断定位关键瓶颈，协同各部门制定并跟踪改进动作。","掌握运营分析方法和指标体系构建思路；具备数据清洗、可视化表达、方案输出和跨团队推进能力；能够支撑管理决策与执行闭环。","SQL；Excel；BI工具；PPT；项目协同平台；流程管理工具。","2026-05-08","企业管理","公司聚焦企业运营管理与组织效能提升，提供经营分析、流程优化、项目治理和管理咨询服务，帮助客户建立可持续改进体系。","核心能力覆盖指标平台、经营看板、项目督办和复盘方法，支持多部门协同和分层决策，推动管理动作从经验驱动转向数据驱动。","服务覆盖制造、零售、互联网与公共服务组织，支持战略分解、运营改进与组织协同提升，形成稳定的咨询实施模型。","北京市","北京","https://example.com/hongce","企业重视方法论沉淀与人才培养，建立顾问评审与交付质量体系，能够持续为客户提供结构化、可执行、可复盘的管理改进方案。"
"江枫增长实验室","市场运营专员","full_time","bachelor","上海市","上海","14k-22k","职位描述：1、负责活动策划与执行落地，跟踪流量、转化和留存等关键指标；2、协同内容、设计和投放团队推进营销计划，保障节奏与质量；3、分析用户反馈和运营数据，提出渠道优化与内容迭代建议；4、维护活动复盘机制和素材库，沉淀可复用增长策略。任职要求：1、本科及以上学历，市场营销或相关专业；2、具备活动执行和数据分析基础，熟悉互联网运营逻辑；3、能够独立完成方案撰写和跨团队沟通；4、执行力强，具备目标导向和复盘意识。","参与品牌增长项目，负责主题活动拆解、用户分层运营和投放协同；通过AB测试与复盘机制持续优化文案、渠道与转化路径，提升活动ROI和用户活跃度。","熟悉市场运营流程和用户增长方法；具备数据分析、活动执行、内容协同和效果复盘能力；能够在快节奏环境下保证项目推进质量。","Excel；BI；CRM；内容管理平台；投放后台；协同管理工具。","2026-05-08","数字营销","公司专注品牌增长与数字营销服务，提供策略制定、活动运营、内容传播和效果评估全流程支持，强调目标达成与方法沉淀并重。","产品能力覆盖用户分层、活动编排、渠道协同和转化分析，支持多平台联动与实时看板监控，帮助团队提升运营效率与执行质量。","方案应用于消费品牌、电商平台、教育服务和内容社区等场景，支持拉新促活、转化提升和品牌资产沉淀。","上海市","上海","https://example.com/jiangfenggrowth","企业倡导数据驱动增长文化，形成标准化活动流程与复盘机制，团队善于跨职能协同，能够持续输出高质量营销执行成果。"
"观象数据服务","数据治理工程师","full_time","bachelor","福建省","厦门","16k-25k","职位描述：1、负责数据标准制定、口径管理和元数据维护，提升数据一致性；2、建设数据质量监控规则并推动问题整改，保障关键指标可信；3、参与数据链路梳理与权限治理，降低数据使用风险；4、协同分析与研发团队优化数据资产流程，提升数据服务效率。任职要求：1、本科及以上学历，计算机或数据相关专业；2、熟悉SQL与数据仓库基础，了解数据治理常见方法；3、具备数据质量分析与沟通推动能力；4、工作细致，具备规范意识和长期视角。","参与企业数据治理平台建设项目，负责主题域建模、口径对齐和质量规则上线；通过异常追踪和责任分派机制提升问题处理效率，推动数据资产可用性持续提升。","掌握数据治理基础与仓库建模思路；具备规则设计、质量诊断、流程协同和报告输出能力；能够推动跨团队达成数据标准共识。","SQL；数据仓库工具；调度平台；元数据管理系统；质量监控平台；Git。","2026-05-08","数据治理","公司围绕数据资产建设提供标准体系、质量管理、权限治理和数据服务支撑能力，帮助客户建立长期可持续的数据治理机制。","平台覆盖元数据管理、口径管理、质量监控、权限审计和服务编排模块，支持从数据采集到消费的全链路治理与追踪。","方案服务于金融、制造、零售和公共服务等行业，支撑数据合规、经营分析和智能应用建设，具备丰富落地经验。","福建省","厦门","https://example.com/guanxiangdata","企业坚持规范优先与价值导向并行，建立治理项目评审和持续改进机制，团队兼具技术能力与业务沟通能力，能够保障治理项目长期有效运行。"
